province,province_2nd,regency_city,regency_city_2nd,found_id,province_aliases,province_aliases_2nd,regency_city_aliases,regency_city_aliases_2nd,lat,long
Aceh,Aceh,Kabupaten Aceh Barat,Kabupaten Aceh Barat,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Barat, Kabupaten Aceh Barat, Kabupaten Aceh Barat, West Aceh Regency, West Aceh Regency","Kabupaten Aceh Barat, Kabupaten Aceh Barat, Kabupaten Aceh Barat, Kabupaten Aceh Barat, Kabupaten Aceh Barat",4.4543,96.1527
Aceh,Aceh,Kabupaten Aceh Barat Daya,Kabupaten Aceh Barat Daya,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Southwest Aceh Regency, Southwest Aceh Regency, Southwest Aceh Regency, Southwest Aceh Regency, Southwest Aceh Regency","Kabupaten Aceh Barat Daya, Kabupaten Aceh Barat Daya, Kabupaten Aceh Barat Daya, Kabupaten Aceh Barat Daya, Kabupaten Aceh Barat Daya",3.7963,97.0068
Aceh,Aceh,Kabupaten Aceh Besar,Kabupaten Aceh Besar,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Besar, Kabupaten Aceh Besar, Aceh Besar Regency, Aceh Besar Regency, Aceh Besar Regency","Kabupaten Aceh Besar, Kabupaten Aceh Besar, Kabupaten Aceh Besar, Kabupaten Aceh Besar, Kabupaten Aceh Besar",5.4529,95.4778
Aceh,Aceh,Kabupaten Aceh Jaya,Kabupaten Aceh Jaya,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Aceh Jaya Regency, Aceh Jaya Regency, Aceh Jaya Regency, Aceh Jaya Regency, Aceh Jaya Regency","Kabupaten Aceh Jaya, Kabupaten Aceh Jaya, Kabupaten Aceh Jaya, Kabupaten Aceh Jaya, Kabupaten Aceh Jaya",4.7874,95.6458
Aceh,Aceh,Kabupaten Aceh Selatan,Kabupaten Aceh Selatan,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","South Aceh Regency, South Aceh Regency, South Aceh Regency, South Aceh Regency, South Aceh Regency","Kabupaten Aceh Selatan, Kabupaten Aceh Selatan, Kabupaten Aceh Selatan, Kabupaten Aceh Selatan, Kabupaten Aceh Selatan",3.3115,97.3517
Aceh,Aceh,Kabupaten Aceh Singkil,Kabupaten Aceh Singkil,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Aceh Singkil Regency, Aceh Singkil Regency, Aceh Singkil Regency, Aceh Singkil Regency","Kabupaten Aceh Singkil, Kabupaten Aceh Singkil, Kabupaten Aceh Singkil, Kabupaten Aceh Singkil",2.3589,97.8722
Aceh,Aceh,Kabupaten Aceh Tamiang,Kabupaten Aceh Tamiang,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Tamiang, Kabupaten Aceh Tamiang, Aceh Tamiang Regency, Aceh Tamiang Regency, Aceh Tamiang Regency","Kabupaten Aceh Tamiang, Kabupaten Aceh Tamiang, Kabupaten Aceh Tamiang, Kabupaten Aceh Tamiang, Kabupaten Aceh Tamiang",4.2329,98.0029
Aceh,Aceh,Kabupaten Aceh Tengah,Kabupaten Aceh Tengah,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Central Aceh Regency, Kabupaten Aceh Tengah, Central Aceh Regency, Central Aceh Regency, Central Aceh Regency","Kabupaten Aceh Tengah, Kabupaten Aceh Tengah, Kabupaten Aceh Tengah, Kabupaten Aceh Tengah, Kabupaten Aceh Tengah",4.4483,96.8351
Aceh,Aceh,Kabupaten Aceh Tenggara,Kabupaten Aceh Tenggara,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Tenggara, Southeast Aceh Regency, Southeast Aceh Regency, Southeast Aceh Regency, Southeast Aceh Regency","Kabupaten Aceh Tenggara, Kabupaten Aceh Tenggara, Kabupaten Aceh Tenggara, Kabupaten Aceh Tenggara, Kabupaten Aceh Tenggara",3.3089,97.6982
Aceh,Aceh,Kabupaten Aceh Timur,Kabupaten Aceh Timur,TRUE,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Timur, East Aceh Regency, East Aceh Regency, East Aceh Regency, East Aceh Regency","Kabupaten Aceh Timur, Kabupaten Aceh Timur, Kabupaten Aceh Timur, Kabupaten Aceh Timur, Kabupaten Aceh Timur",4.5224,97.6114
