kabupaten_kota,kecamatan,kabupaten_kota_aliases,kecamatan_aliases,found_id,lat,long
Kota Pariaman,Kecamatan Pariaman Selatan,"Pariaman City, Kota Pariaman, Pariaman City, Pariaman City, Pariaman City","Pariaman Selatan, Kecamatan Pariaman Selatan, Pariaman Selatan, Pariaman Selatan, Pariaman Selatan",TRUE,-0.637554415,100.158314
Kota Pariaman,Kecamatan Pariaman Tengah,"Kota Pariaman, Kota Pariaman, Kota Pariaman, Kota Pariaman, Pariaman City","Kecamatan Pariaman Tengah, Kecamatan Pariaman Tengah, Kecamatan Pariaman Tengah, Kecamatan Pariaman Tengah, Pariaman Tengah",TRUE,-0.626366806,100.1284862
Kota Pariaman,Kecamatan Pariaman Timur,"Kota Pariaman, Kota Pariaman, Kota Pariaman, Pariaman City, Pariaman City","Kecamatan Pariaman Timur, Kecamatan Pariaman Timur, Kecamatan Pariaman Timur, Pariaman Timur",TRUE,-0.601619644,100.1439953
Kota Pariaman,Kecamatan Pariaman Utara,"Pariaman City, Kota Pariaman, Pariaman City, Pariaman City, Pariaman City","Pariaman Utara, Kecamatan Pariaman Utara, Pariaman Utara, Pariaman Utara, Pariaman Utara",TRUE,-0.575525512,100.1147576
Kabupaten Padang Pariaman,Kecamatan Nan Sabaris,"Kabupaten Padang Pariaman, Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Kecamatan Nan Sabaris, Kecamatan Nan Sabaris, Nan Sabaris, Nan Sabaris",TRUE,-0.652076246,100.193448
Kabupaten Padang Pariaman,Kecamatan Lubuk Alung,"Padang Pariaman Regency, Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Lubuk Alung, Kecamatan Lubuk Alung, Lubuk Alung, Lubuk Alung",TRUE,-0.679430997,100.3028337
Kabupaten Padang Pariaman,Kecamatan Batang Anai,"Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang City, Padang Pariaman Regency","Kecamatan Batang Anai, Batang Anai, Batang Anai, Batang Anai",TRUE,-0.757162563,100.2919086
Kabupaten Padang Pariaman,Kecamatan Batang Gasan,"Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Kecamatan Batang Gasan, Batang Gasan, Batang Gasan",TRUE,-0.43771242,100.0120982
Kabupaten Padang Pariaman,Kecamatan 2 x 11 Enam Lingkung,"Padang Pariaman Regency, Kabupaten Padang Pariaman, Kabupaten Padang Pariaman, Kabupaten Padang Pariaman, Padang Pariaman Regency","2 X 11 Enam Lingkung, Kecamatan 2 X 11 Enam Lingkung, Kecamatan 2 X 11 Enam Lingkung, Kecamatan 2 X 11 Enam Lingkung, 2 X 11 Enam Lingkung",TRUE,-0.587208101,100.2813225
Kabupaten Padang Pariaman,Kecamatan 2 x 11 Kayu Tanam,"Padang Pariaman Regency, Padang Pariaman Regency, Kabupaten Padang Pariaman, Kabupaten Padang Pariaman, Padang Pariaman Regency","2 X 11 Kayu Tanam, 2 X 11 Kayu Tanam, Kecamatan 2 X 11 Kayu Tanam, Kecamatan 2 X 11 Kayu Tanam, 2 X 11 Kayu Tanam",TRUE,-0.537844035,100.3368977
Kabupaten Padang Pariaman,Kecamatan Sungai Limau,"Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Sungai Limau, Sungai Limau",FALSE,-0.502521118,100.0738006
Kabupaten Padang Pariaman,Kecamatan Sungai Geringging,"Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Kecamatan Sungai Geringging, Sungai Geringging, Sungai Geringging",TRUE,-0.434945587,100.1026706
Kabupaten Padang Pariaman,Kecamatan Enam Lingkung,"Padang Pariaman Regency, Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Enam Lingkung, Kecamatan Enam Lingkung, Enam Lingkung, Enam Lingkung",TRUE,-0.633101376,100.2593025
Kabupaten Padang Pariaman,Kecamatan IV Koto Aur Malintang,"Padang Pariaman Regency, Kabupaten Padang Pariaman, Kabupaten Padang Pariaman, Kabupaten Padang Pariaman, Padang Pariaman Regency","Iv Koto Aur Malintang, Kecamatan Iv Koto Aur Malintang, Kecamatan Iv Koto Aur Malintang, Kecamatan Iv Koto Aur Malintang, Iv Koto Aur Malintang",TRUE,-0.367952418,100.0818268
Kabupaten Padang Pariaman,Kecamatan Padang Sago,"Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Kecamatan Padang Sago, Padang Sago, Padang Sago",TRUE,-0.533535278,100.2100562
Kabupaten Padang Pariaman,Kecamatan Patamuan,"Padang Pariaman Regency, Padang Pariaman Regency, Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency","Patamuan, Patamuan, Kecamatan Patamuan, Patamuan, Patamuan",TRUE,-0.511715563,100.2543256
Kabupaten Padang Pariaman,Kecamatan Sintuk Toboh Gadang,"Padang Pariaman Regency, Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Sintuk Toboh Gadang, Kecamatan Sintuk Toboh Gadang, Sintuk Toboh Gadang, Sintuk Toboh Gadang",TRUE,-0.666185904,100.2474584
Kabupaten Padang Pariaman,Kecamatan Ulakan Tapakis,"Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency","Kecamatan Ulakan Tapakis, Ulakan Tapakis, Ulakan Tapakis",TRUE,-0.699327631,100.2128582
