province,regency_city,province_aliases,regency_city_aliases,lat,long
Aceh,Kabupaten Aceh Barat,"Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Barat, Kabupaten Aceh Barat, Kabupaten Aceh Barat, West Aceh Regency, West Aceh Regency",4.4543,96.1527
Aceh,Kabupaten Aceh Barat Daya,"Aceh, Aceh, Aceh, Aceh, Aceh","Southwest Aceh Regency, Southwest Aceh Regency, Southwest Aceh Regency, Southwest Aceh Regency, Southwest Aceh Regency",3.7963,97.0068
Aceh,Kabupaten Aceh Besar,"Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Besar, Kabupaten Aceh Besar, Aceh Besar Regency, Aceh Besar Regency, Aceh Besar Regency",5.4529,95.4778
Aceh,Kabupaten Aceh Jaya,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh Jaya Regency, Aceh Jaya Regency, Aceh Jaya Regency, Aceh Jaya Regency, Aceh Jaya Regency",4.7874,95.6458
Aceh,Kabupaten Aceh Selatan,"Aceh, Aceh, Aceh, Aceh, Aceh","South Aceh Regency, South Aceh Regency, South Aceh Regency, South Aceh Regency, South Aceh Regency",3.3115,97.3517
Aceh,Kabupaten Aceh Singkil,"Aceh, Aceh, Aceh, Aceh, Aceh","Aceh Singkil Regency, Aceh Singkil Regency, Aceh Singkil Regency, Aceh Singkil Regency",2.3589,97.8722
Aceh,Kabupaten Aceh Tamiang,"Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Tamiang, Kabupaten Aceh Tamiang, Aceh Tamiang Regency, Aceh Tamiang Regency, Aceh Tamiang Regency",4.2329,98.0029
Aceh,Kabupaten Aceh Tengah,"Aceh, Aceh, Aceh, Aceh, Aceh","Central Aceh Regency, Kabupaten Aceh Tengah, Central Aceh Regency, Central Aceh Regency, Central Aceh Regency",4.4483,96.8351
Aceh,Kabupaten Aceh Tenggara,"Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Tenggara, Southeast Aceh Regency, Southeast Aceh Regency, Southeast Aceh Regency, Southeast Aceh Regency",3.3089,97.6982
Aceh,Kabupaten Aceh Timur,"Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Aceh Timur, East Aceh Regency, East Aceh Regency, East Aceh Regency, East Aceh Regency",4.5224,97.6114
Aceh,Kabupaten Aceh Utara,"Aceh, Aceh, Aceh, Aceh, Aceh","North Aceh Regency, North Aceh Regency, Kabupaten Aceh Utara, North Aceh Regency, North Aceh Regency",4.9786,97.2221
Aceh,Kabupaten Bener Meriah,"Aceh, Aceh, Aceh, Aceh, Aceh","Bener Meriah Regency, Bener Meriah Regency, Kabupaten Bener Meriah, Bener Meriah Regency, Bener Meriah Regency",4.7514,96.9525
Aceh,Kabupaten Bireuen,"Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Bireuen, Bireuen Regency, Bireuen Regency, Bireuen Regency, Bireuen Regency",5.1086,96.6638
Aceh,Kabupaten Gayo Lues,"Aceh, Aceh, Aceh, Aceh, Aceh","Kabupaten Gayo Lues, Kabupaten Gayo Lues, Gayo Lues Regency, Gayo Lues Regency",3.9552,97.3517
Aceh,Kabupaten Nagan Raya,"Aceh, Aceh, Aceh, Aceh, Aceh","Nagan Raya Regency, Kabupaten Nagan Raya, Nagan Raya Regency, Nagan Raya Regency, Nagan Raya Regency",4.1248,96.493
